Year,Pace,ORtg,TS%
1997,93,113.5,0.6
1998,96,113.5,0.6
1999,96,111.2,0.6
2000,96,114.3,0.6
2001,98,111.3,0.6
2002,97,110.0,0.6
2003,95,108.9,0.6
2004,95,111.3,0.6
2005,93,106.7,0.5
2006,94,105.3,0.5
2007,91,108.7,0.5
2008,90,104.8,0.5
2009,89,103.6,0.5
2010,88,106.0,0.5
2011,90,108.6,0.5
2012,89,107.7,0.5
2013,88,107.4,0.5
2014,90,104.9,0.5
2015,89,108.2,0.5
2016,89,107.7,0.5
2017,88,98.8,0.5
2018,90,105.1,0.5
2019,91,103.3,0.5
2020,89,104.6,0.5
2021,88,104.2,0.5
2022,86,101.8,0.5
2023,86,105.6,0.5
2024,87,107.4,0.5